,COP100_heat
1569283200,373.0
1569284100,373.0
1569285000,373.0
1569285900,373.0
1569286800,377.0
1569287700,377.0
1569288600,377.0
1569289500,377.0
1569290400,368.0
1569291300,368.0
1569292200,368.0
1569293100,368.0
1569294000,366.0
1569294900,366.0
1569295800,366.0
1569296700,366.0
1569297600,377.0
1569298500,377.0
1569299400,377.0
1569300300,377.0
1569301200,370.0
1569302100,370.0
1569303000,370.0
1569303900,370.0
1569304800,372.0
1569305700,372.0
1569306600,372.0
1569307500,372.0
1569308400,372.0
1569309300,372.0
1569310200,372.0
1569311100,372.0
1569312000,383.0
1569312900,383.0
1569313800,383.0
1569314700,383.0
1569315600,433.0
1569316500,433.0
1569317400,433.0
1569318300,433.0
1569319200,451.0
1569320100,451.0
1569321000,451.0
1569321900,451.0
1569322800,467.0
1569323700,467.0
1569324600,467.0
1569325500,467.0
1569326400,457.0
1569327300,457.0
1569328200,457.0
1569329100,457.0
1569330000,463.0
1569330900,463.0
1569331800,463.0
1569332700,463.0
1569333600,467.0
1569334500,467.0
1569335400,467.0
1569336300,467.0
1569337200,473.00000000000006
1569338100,473.00000000000006
1569339000,473.00000000000006
1569339900,473.00000000000006
1569340800,470.0
1569341700,470.0
1569342600,470.0
1569343500,470.0
1569344400,451.99999999999994
1569345300,451.99999999999994
1569346200,451.99999999999994
1569347100,451.99999999999994
1569348000,408.0
1569348900,408.0
1569349800,408.0
1569350700,408.0
1569351600,385.0
1569352500,385.0
1569353400,385.0
1569354300,385.0
1569355200,369.0
1569356100,369.0
1569357000,369.0
1569357900,369.0
1569358800,363.0
1569359700,363.0
1569360600,363.0
1569361500,363.0
1569362400,351.0
1569363300,351.0
1569364200,351.0
1569365100,351.0
1569366000,349.0
1569366900,349.0
1569367800,349.0
1569368700,349.0
1569369600,347.0
1569370500,347.0
1569371400,347.0
1569372300,347.0
1569373200,344.0
1569374100,344.0
1569375000,344.0
1569375900,344.0
1569376800,256.0
1569377700,256.0
1569378600,256.0
1569379500,256.0
1569380400,337.0
1569381300,337.0
1569382200,337.0
1569383100,337.0
1569384000,322.0
1569384900,322.0
1569385800,322.0
1569386700,322.0
1569387600,320.0
1569388500,320.0
1569389400,320.0
1569390300,320.0
1569391200,313.0
1569392100,313.0
1569393000,313.0
1569393900,313.0
1569394800,342.0
1569395700,342.0
1569396600,342.0
1569397500,342.0
1569398400,370.0
1569399300,370.0
1569400200,370.0
1569401100,370.0
1569402000,409.99999999999994
1569402900,409.99999999999994
1569403800,409.99999999999994
1569404700,409.99999999999994
1569405600,433.0
1569406500,433.0
1569407400,433.0
1569408300,433.0
1569409200,466.0
1569410100,466.0
1569411000,466.0
1569411900,466.0
1569412800,491.0
1569413700,491.0
1569414600,491.0
1569415500,491.0
1569416400,507.0
1569417300,507.0
1569418200,507.0
1569419100,507.0
1569420000,516.0
1569420900,516.0
1569421800,516.0
1569422700,516.0
1569423600,319.0
1569424500,319.0
1569425400,319.0
1569426300,319.0
1569427200,508.0
1569428100,508.0
1569429000,508.0
1569429900,508.0
1569430800,304.0
1569431700,304.0
1569432600,304.0
1569433500,304.0
1569434400,432.0
1569435300,432.0
1569436200,432.0
1569437100,432.0
1569438000,395.0
1569438900,395.0
1569439800,395.0
1569440700,395.0
1569441600,391.0
1569442500,391.0
1569443400,391.0
1569444300,391.0
1569445200,372.0
1569446100,372.0
1569447000,372.0
1569447900,372.0
1569448800,361.0
1569449700,361.0
1569450600,361.0
1569451500,361.0
1569452400,359.0
1569453300,359.0
1569454200,359.0
1569455100,359.0
1569456000,347.0
1569456900,347.0
1569457800,347.0
1569458700,347.0
1569459600,338.0
1569460500,338.0
1569461400,338.0
1569462300,338.0
1569463200,332.0
1569464100,332.0
1569465000,332.0
1569465900,332.0
1569466800,333.0
1569467700,333.0
1569468600,333.0
1569469500,333.0
1569470400,325.0
1569471300,325.0
1569472200,325.0
1569473100,325.0
1569474000,320.0
1569474900,320.0
1569475800,320.0
1569476700,320.0
1569477600,323.0
1569478500,323.0
1569479400,323.0
1569480300,323.0
1569481200,326.0
1569482100,326.0
1569483000,326.0
1569483900,326.0
1569484800,363.0
1569485700,363.0
1569486600,363.0
1569487500,363.0
1569488400,386.0
1569489300,386.0
1569490200,386.0
1569491100,386.0
1569492000,405.0
1569492900,405.0
1569493800,405.0
1569494700,405.0
1569495600,426.0
1569496500,426.0
1569497400,426.0
1569498300,426.0
1569499200,436.00000000000006
1569500100,436.00000000000006
1569501000,436.00000000000006
1569501900,436.00000000000006
1569502800,440.00000000000006
1569503700,440.00000000000006
1569504600,440.00000000000006
1569505500,440.00000000000006
1569506400,437.0
1569507300,437.0
1569508200,437.0
1569509100,437.0
1569510000,438.99999999999994
1569510900,438.99999999999994
1569511800,438.99999999999994
1569512700,438.99999999999994
1569513600,436.00000000000006
1569514500,436.00000000000006
1569515400,436.00000000000006
1569516300,436.00000000000006
1569517200,434.0
1569518100,434.0
1569519000,434.0
1569519900,434.0
1569520800,429.0
1569521700,429.0
1569522600,429.0
1569523500,429.0
1569524400,426.99999999999994
1569525300,426.99999999999994
1569526200,426.99999999999994
1569527100,426.99999999999994
1569528000,424.0
1569528900,424.0
1569529800,424.0
1569530700,424.0
1569531600,419.00000000000006
1569532500,419.00000000000006
1569533400,419.00000000000006
1569534300,419.00000000000006
1569535200,417.0
1569536100,417.0
1569537000,417.0
1569537900,417.0
1569538800,416.0
1569539700,416.0
1569540600,416.0
1569541500,416.0
1569542400,416.0
1569543300,416.0
1569544200,416.0
1569545100,416.0
1569546000,420.0
1569546900,420.0
1569547800,420.0
1569548700,420.0
1569549600,412.0
1569550500,412.0
1569551400,412.0
1569552300,412.0
1569553200,412.0
1569554100,412.0
1569555000,412.0
1569555900,412.0
1569556800,408.0
1569557700,408.0
1569558600,408.0
1569559500,408.0
1569560400,279.0
1569561300,279.0
1569562200,279.0
1569563100,279.0
1569564000,413.0
1569564900,413.0
1569565800,413.0
1569566700,413.0
1569567600,422.0
1569568500,422.0
1569569400,422.0
1569570300,422.0
1569571200,437.0
1569572100,437.0
1569573000,437.0
1569573900,437.0
1569574800,446.0
1569575700,446.0
1569576600,446.0
1569577500,446.0
1569578400,463.99999999999994
1569579300,463.99999999999994
1569580200,463.99999999999994
1569581100,463.99999999999994
1569582000,476.0
1569582900,476.0
1569583800,476.0
1569584700,476.0
1569585600,491.0
1569586500,491.0
1569587400,491.0
1569588300,491.0
1569589200,505.0
1569590100,505.0
1569591000,505.0
1569591900,505.0
1569592800,508.0
1569593700,508.0
1569594600,508.0
1569595500,508.0
1569596400,516.0
1569597300,516.0
1569598200,516.0
1569599100,516.0
1569600000,409.0
1569600900,409.0
1569601800,409.0
1569602700,409.0
1569603600,361.0
1569604500,361.0
1569605400,361.0
1569606300,361.0
1569607200,463.99999999999994
1569608100,463.99999999999994
1569609000,463.99999999999994
1569609900,463.99999999999994
1569610800,426.99999999999994
1569611700,426.99999999999994
1569612600,426.99999999999994
1569613500,426.99999999999994
1569614400,426.0
1569615300,426.0
1569616200,426.0
1569617100,426.0
1569618000,409.99999999999994
1569618900,409.99999999999994
1569619800,409.99999999999994
1569620700,409.99999999999994
1569621600,405.0
1569622500,405.0
1569623400,405.0
1569624300,405.0
1569625200,394.0
1569626100,394.0
1569627000,394.0
1569627900,394.0
1569628800,382.0
1569629700,382.0
1569630600,382.0
1569631500,382.0
1569632400,389.0
1569633300,389.0
1569634200,389.0
1569635100,389.0
1569636000,385.0
1569636900,385.0
1569637800,385.0
1569638700,385.0
1569639600,385.0
1569640500,385.0
1569641400,385.0
1569642300,385.0
1569643200,375.0
1569644100,375.0
1569645000,375.0
1569645900,375.0
1569646800,373.0
1569647700,373.0
1569648600,373.0
1569649500,373.0
1569650400,377.0
1569651300,377.0
1569652200,377.0
1569653100,377.0
1569654000,466.0
1569654900,466.0
1569655800,466.0
1569656700,466.0
1569657600,466.0
1569658500,466.0
1569659400,466.0
1569660300,466.0
1569661200,466.0
1569662100,466.0
1569663000,466.0
1569663900,466.0
1569664800,466.0
1569665700,466.0
1569666600,466.0
1569667500,466.0
1569668400,498.00000000000006
1569669300,498.00000000000006
1569670200,498.00000000000006
1569671100,498.00000000000006
1569672000,531.0
1569672900,531.0
1569673800,531.0
1569674700,531.0
1569675600,538.0
1569676500,538.0
1569677400,538.0
1569678300,538.0
1569679200,540.0
1569680100,540.0
1569681000,540.0
1569681900,540.0
1569682800,543.0
1569683700,543.0
1569684600,543.0
1569685500,543.0
1569686400,524.0
1569687300,524.0
1569688200,524.0
1569689100,524.0
1569690000,503.0
1569690900,503.0
1569691800,503.0
1569692700,503.0
1569693600,488.99999999999994
1569694500,488.99999999999994
1569695400,488.99999999999994
1569696300,488.99999999999994
1569697200,472.0
1569698100,472.0
1569699000,472.0
1569699900,472.0
1569700800,463.0
1569701700,463.0
1569702600,463.0
1569703500,463.0
1569704400,459.99999999999994
1569705300,459.99999999999994
1569706200,459.99999999999994
1569707100,459.99999999999994
1569708000,454.0
1569708900,454.0
