,COP100_heat
1573516800,280.0
1573517700,280.0
1573518600,280.0
1573519500,280.0
1573520400,283.0
1573521300,283.0
1573522200,283.0
1573523100,283.0
1573524000,288.0
1573524900,288.0
1573525800,288.0
1573526700,288.0
1573527600,286.0
1573528500,286.0
1573529400,286.0
1573530300,286.0
1573531200,291.0
1573532100,291.0
1573533000,291.0
1573533900,291.0
1573534800,293.0
1573535700,293.0
1573536600,293.0
1573537500,293.0
1573538400,291.0
1573539300,291.0
1573540200,291.0
1573541100,291.0
1573542000,293.0
1573542900,293.0
1573543800,293.0
1573544700,293.0
1573545600,297.0
1573546500,297.0
1573547400,297.0
1573548300,297.0
1573549200,298.0
1573550100,298.0
1573551000,298.0
1573551900,298.0
1573552800,303.0
1573553700,303.0
1573554600,303.0
1573555500,303.0
1573556400,310.0
1573557300,310.0
1573558200,310.0
1573559100,310.0
1573560000,314.0
1573560900,314.0
1573561800,314.0
1573562700,314.0
1573563600,319.0
1573564500,319.0
1573565400,319.0
1573566300,319.0
1573567200,318.0
1573568100,318.0
1573569000,318.0
1573569900,318.0
1573570800,317.0
1573571700,317.0
1573572600,317.0
1573573500,317.0
1573574400,311.0
1573575300,311.0
1573576200,311.0
1573577100,311.0
1573578000,314.0
1573578900,314.0
1573579800,314.0
1573580700,314.0
1573581600,310.0
1573582500,310.0
1573583400,310.0
1573584300,310.0
1573585200,313.0
1573586100,313.0
1573587000,313.0
1573587900,313.0
1573588800,312.0
1573589700,312.0
1573590600,312.0
1573591500,312.0
1573592400,308.0
1573593300,308.0
1573594200,308.0
1573595100,308.0
1573596000,309.0
1573596900,309.0
1573597800,309.0
1573598700,309.0
1573599600,309.0
1573600500,309.0
1573601400,309.0
1573602300,309.0
1573603200,308.0
1573604100,308.0
1573605000,308.0
1573605900,308.0
1573606800,265.0
1573607700,265.0
1573608600,265.0
1573609500,265.0
1573610400,311.0
1573611300,311.0
1573612200,311.0
1573613100,311.0
1573614000,310.0
1573614900,310.0
1573615800,310.0
1573616700,310.0
1573617600,309.0
1573618500,309.0
1573619400,309.0
1573620300,309.0
1573621200,309.0
1573622100,309.0
1573623000,309.0
1573623900,309.0
1573624800,309.0
1573625700,309.0
1573626600,309.0
1573627500,309.0
1573628400,305.0
1573629300,305.0
1573630200,305.0
1573631100,305.0
1573632000,310.0
1573632900,310.0
1573633800,310.0
1573634700,310.0
1573635600,310.0
1573636500,310.0
1573637400,310.0
1573638300,310.0
1573639200,312.0
1573640100,312.0
1573641000,312.0
1573641900,312.0
1573642800,312.0
1573643700,312.0
1573644600,312.0
